ZONE,ENTITY,SUB_ENTITY,RAW_FILENAME,FILE_SIZE
Europe,FR-001,Antony-PF,80cc92b9/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_02_JobState_28239.log/20200703_000519_884.zip,2536
Europe,FR-001,Antony-PF,a9fbfddc/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_02_JobState_28180.log/20200702_115603_078.zip,2536
Europe,FR-001,Antony-PF,a98f4ed6/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_02_JobState_28239.log/20200702_051226_884.zip,2531
Europe,FR-001,Antony-PF,4adb092a/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_02_JobState_28266.log/20200702_200128_651.zip,2529
Europe,FR-001,Antony-PF,8b435ed0/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_02_JobState_28239.log/20200702_131256_884.zip,2522
Europe,FR-001,Antony-PF,b1ade16a/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_03_JobState_28180.log/20200703_075806_884.zip,2517
Europe,FR-001,Antony-PF,c0b35d06/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_03_JobState_28266.log/20200703_110126_571.zip,2516
Europe,FR-001,Antony-PF,268b5b13/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO2/JobStateHistory/2020_07_04_JobState_28213.log/20200704_040318_884.zip,2503
Europe,FR-001,Antony-PF,5806e915/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_02_JobState_28266.log/20200702_180208_573.zip,2478
Europe,FR-001,Antony-PF,7d8fc4e9/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_02_JobState_28266.log/20200702_140154_575.zip,2471
Europe,FR-001,Antony-PF,19f8e2cd/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_02_JobState_28239.log/20200702_111255_884.zip,2467
Europe,FR-001,Antony-PF,be16fd9e/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_04_JobState_28180.log/20200704_035821_884.zip,2467
Europe,FR-001,Antony-PF,7bd6b556/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_04_JobState_28239.log/20200704_191247_972.zip,2446
Europe,FR-001,Antony-PF,d4724495/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_03_JobState_28239.log/20200703_191234_884.zip,2441
Europe,FR-001,Antony-PF,2b0b90ac/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_04_JobState_28180.log/20200704_153509_734.zip,2435
